ElapsedTime, Axis_A, Axis_B, Axis_C, Axis_D, Axis_E
114.115811, 0.0,1.3838763956039062,1.91742472925487,1.8906605541757573,3.637063374453314
115.125554, 0.0,1.3353032132459934,1.9535690679940403,1.7873904720362113,3.64062583391643
116.131476, 0.0,1.2852489521921557,1.990956419259102,1.6825392067403504,3.6490154469181095
117.136123, 0.0,1.236160382616325,2.028006063637619,1.5839786001712548,3.670088550327747
118.149250, 0.0,1.1861365677207723,2.0652930353553627,1.4926142577249963,3.7087002058311502
119.117121, 0.0,1.1365734608769547,2.10116991245834,1.4227491575309017,3.7859700993526975
120.123456, 0.0,1.087442138441159,2.136729990627913,1.3535749356987454,3.8627221284005477
121.103873, 0.0,1.0355852882748622,2.1742517559291623,1.2807760289049195,3.9441336554467585
122.119384, 0.0,1.000864126434367,2.1993747489645643,1.2320329483573398,3.9986433836155264
123.086136, 0.0,1.0003609003619762,2.1997388653835364,1.2313264976604172,3.999433412374917
124.094537, 0.0,1.0368954629598282,2.184423089357097,1.2508397646846419,3.9869872491313276
125.089126, 0.0,1.1627733628045411,2.131294331826989,1.3190977805259285,3.9426544150322305
126.110081, 0.0,1.2623686351909962,2.0561302549154767,1.389871040439293,3.8979835154544893
127.103348, 0.0,1.2943503648353465,1.92888833505586,1.4647820348152518,3.8537778431891394
128.118240, 0.0,1.3172522152794517,1.8530417749567747,1.5476285129060217,3.8144831051767216
129.091101, 0.0,1.3246331071655877,1.877385787142611,1.6676321856732226,3.777411370995933
130.083900, 0.0,1.3359815321534079,1.8826895154032006,1.7635323836146013,3.7153458258205694
131.080154, 0.0,1.3598162066947954,1.8435028152410877,1.826139157676608,3.5770555865967255
132.075630, 0.0,1.3849885401658046,1.7987851875339396,1.8842556246989466,3.44394301595425
133.075650, 0.0,1.4141227186471017,1.7376907550669396,1.929083764579205,3.326147829782892
134.079248, 0.0,1.4517344133058867,1.653218687834525,1.954952134276036,3.2291666434268405
135.072486, 0.0,1.5081729681415268,1.5152718512405063,1.9298126209629796,3.1937327747463504
136.073072, 0.0,1.5739944210195822,1.3931767155704922,1.8968506815157216,3.1451199044134928
137.078302, 0.0,1.6623486510709775,1.3248891527926316,1.8436249732323455,3.0619002962349877
138.080641, 0.0,1.7358275956761124,1.3031259697492448,1.7916131028362188,2.967445718392084
